"id","name","image","coord_x","coord_y"
1,"Kolkata","suggested_pics/Kolkata.jpg",22.5726,88.3639
2,"New Delhi","suggested_pics/New_Delhi.jpg",28.7041,77.1025
3,"Mumbai","suggested_pics/Mumbai.jpg",19.076,72.8777
4,"Chennai","suggested_pics/Chennai.jpg",13.0827,80.2707
5,"Bengaluru","suggested_pics/Bengaluru.jpg",12.9716,77.5946
6,"Ahmedabad","suggested_pics/Ahmedabad.jpg",22.0225,72.5714
